manufacturer,filament_type,color_name,quantity,spool_profile
Amolen,PLA Silk Glow,Blue,1,Amolen 1kg
Amolen,PLA Silk Glow,Green,1,Amolen 1kg
Amolen,PLA Silk Glow,Orange-Red,1,Amolen 1kg
Amolen,PLA Silk Glow,Purple,1,Amolen 1kg
Amolen,PLA Silk Glow,Yellow,1,Amolen 1kg
Amolen,PLA Silk Quad,Blue Red White Black,1,Amolen 1kg
Amolen,PLA Silk Quad,Blue Yellow Red White,1,Amolen 1kg
Amolen,PLA Silk S-Series,Berry Pop,1,Amolen 1kg
Amolen,PLA Silk S-Series,Black Pink White,1,Amolen 1kg
Amolen,PLA Silk S-Series,Black Purple Orange,1,Amolen 1kg
Amolen,PLA Silk S-Series,Black Red,1,Amolen 1kg
Amolen,PLA Silk S-Series,Black Red Yellow,1,Amolen 1kg
Amolen,PLA Silk S-Series,Black Turquoise Magenta,1,Amolen 1kg
Amolen,PLA Silk S-Series,Black Yellow Green,1,Amolen 1kg
Amolen,PLA Silk S-Series,Blue Pink Green,1,Amolen 1kg
Amolen,PLA Silk S-Series,Blue Pink White,1,Amolen 1kg
Amolen,PLA Silk S-Series,Blue Red Yellow Green,1,Amolen 1kg
Amolen,PLA Silk S-Series,Gold Purple Red,1,Amolen 1kg
Amolen,PLA Silk S-Series,Gray Blue Brown,1,Amolen 1kg
Amolen,PLA Silk S-Series,Nebula Ribbon,1,Amolen 1kg
Amolen,PLA Silk S-Series,Red White,1,Amolen 1kg
Amolen,PLA Temp Color Change,Black To Red To Yellow,1,Amolen 1kg
Amolen,PLA Temp Color Change,Blue to White,1,Amolen 1kg
Amolen,PLA Temp Color Change,Green to Yellow,1,Amolen 1kg
Amolen,PLA Temp Color Change,Orange to White,1,Amolen 1kg
Amolen,PLA Temp Color Change,Purple Green to Pink Yellow,1,Amolen 1kg
Amolen,PLA Temp Color Change,Red to White,1,Amolen 1kg
Amolen,TPU,75A White,1,Amolen 1kg
Amolen,TPU,85A Black,1,Amolen 1kg
Amolen,TPU,90A Clear,1,Amolen 1kg
Amolen,TPU,95A Clear,1,Amolen 1kg
Amolen,TPU,95A Fruity Splash,1,Amolen 1kg
Amolen,TPU,95A Pink,1,Amolen 1kg
Amolen,TPU,95A Purple,1,Amolen 1kg
Amolen,TPU,95A White,1,Amolen 1kg
